master_offset,freq,path_delay,date,OT
-527777,-201116,1493540,2025-01-12 05:01:08.578494310,0.5000717639923096
149308,317636,1085678,2025-01-12 05:01:09.578746319,0.4998731613159179
-469869,-256749,1493540,2025-01-12 05:01:10.581303596,0.5000951290130615
-140211,-68052,1441967,2025-01-12 05:01:11.578927994,0.500046968460083
-258958,-228862,1441967,2025-01-12 05:01:12.579541445,0.5001068115234375
-381208,-428799,1901403,2025-01-12 05:01:13.578787327,0.5002045631408691
176184,14230,1901403,2025-01-12 05:01:14.578785181,0.5000202655792236
341299,232200,1671685,2025-01-12 05:01:15.578830481,0.4998984336853027
-251622,-258331,1901403,2025-01-12 05:01:16.578926802,0.5001025199890137
35776,-46420,1901403,2025-01-12 05:01:17.579427242,0.500037431716919
244193,172730,1671685,2025-01-12 05:01:18.579109430,0.4999282360076904
682446,684241,1263822,2025-01-12 05:01:19.579544544,0.4996895790100097
-50026,156503,1263822,2025-01-12 05:01:20.579586029,0.4998924732208252
-224700,-33179,1218999,2025-01-12 05:01:21.579537153,0.500007152557373
-251471,-127360,1218999,2025-01-12 05:01:22.578884363,0.5000600814819336
557993,606663,976931,2025-01-12 05:01:23.579309464,0.4997410774230957
-360318,-144250,976931,2025-01-12 05:01:24.579661131,0.5000300407409668
7429,115401,747634,2025-01-12 05:01:25.579829216,0.4999592304229736
527806,638007,747634,2025-01-12 05:01:26.579879999,0.4997134208679199
-802368,-533825,747634,2025-01-12 05:01:27.579156160,0.5002009868621826
-444452,-416620,863861,2025-01-12 05:01:28.579604387,0.5002169609069824
-119468,-224971,1081606,2025-01-12 05:01:29.579161406,0.5001254081726074
168653,27309,1081606,2025-01-12 05:01:30.579994917,0.5000028610229492
260186,169438,878810,2025-01-12 05:01:31.579320908,0.4999251365661621
173540,160848,878810,2025-01-12 05:01:32.579341412,0.4999208450317383
-61633,-22263,1066629,2025-01-12 05:01:33.579473495,0.500002384185791
-308249,-287369,1066629,2025-01-12 05:01:34.580509663,0.5001296997070312
-7479,-79073,1167039,2025-01-12 05:01:35.580433607,0.5000534057617188
42578,-31260,1167039,2025-01-12 05:01:36.579946756,0.5000200271606445
257242,196177,1115993,2025-01-12 05:01:37.580427647,0.4999172687530517
95016,111124,1152062,2025-01-12 05:01:38.579955578,0.4999411106109619
-33462,11151,1117389,2025-01-12 05:01:39.579575539,0.4999904632568359
7057,41631,1117389,2025-01-12 05:01:40.580037832,0.4999825954437256
-246555,-209864,1252087,2025-01-12 05:01:41.579668760,0.5000920295715332
-58957,-96232,1252087,2025-01-12 05:01:42.580201626,0.5000565052032471
75705,20743,1252087,2025-01-12 05:01:43.580221653,0.4999983310699463
-11240,-43491,1116929,2025-01-12 05:01:44.579652071,0.5000197887420654
181004,145381,1058412,2025-01-12 05:01:45.580234528,0.4999401569366455
102403,121081,1058412,2025-01-12 05:01:46.580056190,0.4999399185180664
135919,185318,948174,2025-01-12 05:01:47.580311537,0.4999127388000488
-326045,-235870,1035633,2025-01-12 05:01:48.580642462,0.5000951290130615
55783,48144,967509,2025-01-12 05:01:49.579847097,0.4999940395355224
53302,62398,967509,2025-01-12 05:01:50.580491304,0.4999713897705078
376,25463,921734,2025-01-12 05:01:51.581527948,0.4999868869781494
151504,176704,921734,2025-01-12 05:01:53.580950499,0.4999222755432129
-263385,-192734,921734,2025-01-12 05:01:54.580423117,0.5000767707824707
-78505,-86870,967509,2025-01-12 05:01:55.580368519,0.5000512599945068
177648,145732,967509,2025-01-12 05:01:56.580374479,0.4999423027038574
