data,timestamp,master_offset,s2_freq,path_delay,timestamp_diff,adjusted_Offset,adjusted_Path_Delay,is_attack,attack_value,PTPts
2510709.288,1739518683.679159,-237928.0,-152141.0,4001329.0,0.0472352504730224,82653.0,1273586.0,0.0,0.0,2432805.3352352506
2747423.592,1739518684.702488,-287079.0,-272671.0,4143318.0,0.0185093879699707,525439.0,1176962.0,0.0,0.0,2601796.993509388
2912272.608,1739518685.674864,103684.0,31969.0,4098718.0,0.0423736572265625,26931.0,1679828.0,0.0,0.0,2898753.419373657
2860955.071,1739518686.697872,181727.0,141117.0,4025033.0,0.0148928165435791,-1725598.0,3322877.0,0.0,0.0,2911315.0908928164
2821574.496,1739518687.670256,-31204.0,-17296.0,4128483.0,0.0380270481109619,-1101659.0,2749985.0,0.0,0.0,2805412.813027048
2852968.507,1739518688.642773,13417.0,17964.0,4134909.0,0.0615289211273193,-537993.0,2176325.0,0.0,0.0,2845251.092528921
2909631.642,1739518689.717374,-89092.0,-80520.0,4227424.0,0.0334618091583251,-27000.0,1787924.0,0.0,0.0,2859020.0084618093
2936335.165,1739518690.688744,122942.0,104786.0,4137982.0,0.0058925151824951,-1260294.0,2948036.0,0.0,0.0,2964915.985892515
2959012.597,1739518691.661418,-129190.0,-110463.0,4316932.0,0.0290052890777587,-574383.0,2409771.0,0.0,0.0,2898961.603005289
3008441.705,1739518692.684115,110859.0,90829.0,4224529.0,0.0519304275512695,-1259851.0,3004033.0,0.0,0.0,3029263.2729304275
3050952.223,1739518693.655354,-150656.0,-137428.0,4394838.0,0.0236756801605224,-1123958.0,3073909.0,0.0,0.0,2978051.53467568
3125065.076,1739518694.680239,100910.0,68941.0,4349042.0,0.0471460819244384,268986.0,1671220.0,0.0,0.0,3134684.456146082
3100244.045,1739518695.704725,39572.0,37876.0,4400635.0,0.0722153186798095,-711903.0,2607194.0,0.0,0.0,3105621.8102153186
3126820.971,1739518696.67484,-48339.0,-38164.0,4443630.0,0.0428299903869628,-1190050.0,3173436.0,0.0,0.0,3096328.8188299905
3263460.565,1739518697.697722,-185082.0,-189408.0,4668468.0,0.0148985385894775,761899.0,1424465.0,0.0,0.0,3160929.7558985385
3300154.018,1739518698.669802,274452.0,214601.0,4411912.0,0.0377001762390136,-478097.0,2503981.0,0.0,0.0,3373177.1117001763
3169999.599,1739518699.69314,71844.0,94329.0,4454040.0,0.0608854293823242,-720576.0,2692874.0,0.0,0.0,3207851.6518854294
3125559.15,1739518700.716581,6454.0,50492.0,4465844.0,0.0326828956604003,-842872.0,2743163.0,0.0,0.0,3137864.1576828957
3018159.211,1739518701.63725,196568.0,242542.0,4203723.0,0.0558774471282959,-153970.0,1862342.0,0.0,0.0,3115339.611877447
2872358.917,1739518702.711827,-9738.0,95206.0,4218110.0,0.0279545783996582,-1676935.0,3274553.0,0.0,0.0,2911890.824954578
2892465.742,1739518703.636782,-195063.0,-93040.0,4292681.0,0.0517003536224365,554552.0,1273757.0,0.0,0.0,2839780.5287003536
2897175.584,1739518704.711346,124861.0,168365.0,4203449.0,0.0788412094116211,-1416914.0,3052170.0,0.0,0.0,2954016.6198412096
2765819.025,1739518705.683143,72015.0,152977.0,4063241.0,0.0506858825683593,-624536.0,2136714.0,0.0,0.0,2828005.6046858826
2747369.448,1739518706.654735,-180116.0,-77549.0,4192294.0,0.0226538181304931,-228604.0,1846557.0,0.0,0.0,2704345.7626538184
2860311.041,1739518707.678511,-137866.0,-89334.0,4255820.0,0.0457756519317626,-460963.0,2200319.0,0.0,0.0,2801168.085775652
2888089.727,1739518708.650781,105703.0,112875.0,4133653.0,0.0181307792663574,-43336.0,1706149.0,0.0,0.0,2920005.1691307793
2776909.023,1739518709.673845,136563.0,175446.0,4026250.0,0.0416934490203857,-246818.0,1793874.0,0.0,0.0,2846679.038693449
2586914.796,1739518710.696807,193882.0,273734.0,3853174.0,0.0649354457855224,217064.0,1049416.0,0.0,0.0,2704192.746935446
2398314.876,1739518711.668712,14162.0,152179.0,3752319.0,0.0366747379302978,-1549896.0,2702612.0,0.0,0.0,2465037.553674738
2369691.133,1739518712.692443,-196185.0,-53920.0,3848902.0,0.0085213184356689,-703434.0,1939211.0,0.0,0.0,2337246.055521318
2480989.193,1739518713.665202,-197571.0,-114161.0,3933348.0,0.0328857898712158,-939833.0,2360245.0,0.0,0.0,2411678.5718857897
2611605.646,1739518714.687891,-108357.0,-84218.0,4028769.0,0.0550704002380371,-1323154.0,2826193.0,0.0,0.0,2553085.9070704
2776172.147,1739518715.711519,-186800.0,-195169.0,4189839.0,0.0276904106140136,-228913.0,1953011.0,0.0,0.0,2668745.332690411
