data,timestamp,master_offset,s2_freq,path_delay,timestamp_diff,adjusted_Offset,adjusted_Path_Delay,is_attack,rolling_mean,rolling_std,rolling_range,change_count
2872760.13,1739515554.56229,117796.0,26297.0,4650021.0,0.06866455078125,742195.0,1525982.0,0.0,-126887.2,147046.0575177043,617100.0,4.0
2867596.453,1739515555.58598,106787.0,50627.0,4661391.0,0.0446290969848632,-606184.0,2851134.0,0.0,-86087.8,150592.04531348925,464650.0,4.0
2789450.263,1739515556.609582,231117.0,206993.0,4513833.0,0.021559715270996,-1101777.0,3215865.0,0.0,-14151.8,167248.77610822747,154735.0,4.0
2645172.562,1739515557.581632,73152.0,118363.0,4540937.0,0.0484070777893066,-1335825.0,3300450.0,0.0,105294.8,115142.8459901005,147558.0,4.0
2667651.156,1739515558.553292,-249333.0,-182176.0,4713959.0,0.0260274410247802,245641.0,2017640.0,0.0,113805.4,101434.53589483218,147558.0,4.0
2793447.654,1739515559.576499,60030.0,52387.0,4703251.0,0.0531692504882812,-164782.0,2340320.0,0.0,55903.8,144576.5091299413,200126.0,4.0
2811505.38,1739515560.548449,-67567.0,-57201.0,4743105.0,0.0819861888885498,-637554.0,2888135.0,0.0,44350.6,144247.34881861781,200126.0,4.0
2927408.268,1739515561.622203,-125005.0,-134909.0,4875586.0,0.058913230895996,-458116.0,2998578.0,0.0,9479.8,151848.04820345898,229272.0,4.0
2992366.468,1739515562.594,184195.0,136790.0,4856268.0,0.0361292362213134,-860846.0,3188904.0,0.0,-61744.6,125627.7283651981,334649.0,4.0
2954748.34,1739515563.566963,-58651.0,-50798.0,4886709.0,0.0641026496887207,516524.0,1914191.0,0.0,-39536.0,131589.62834395422,172335.0,4.0
2897288.409,1739515564.589626,334569.0,324827.0,4596147.0,0.0918569564819336,-1064416.0,3180542.0,0.0,-1399.6,105985.05470442519,183458.0,4.0
2680054.913,1739515565.613443,23802.0,114430.0,4592325.0,0.0175421237945556,72551.0,1935777.0,0.0,53508.2,186219.0834600471,290562.0,4.0
2580466.044,1739515566.58603,57973.0,155742.0,4450356.0,0.044264793395996,-28908.0,1891827.0,0.0,71782.0,178623.99117559768,294384.0,4.0
2469218.006,1739515567.557138,1474.0,116635.0,4361446.0,0.0207269191741943,-38857.0,1870561.0,0.0,108377.6,133608.16580658534,436353.0,4.0
2357380.781,1739515568.581033,69524.0,185127.0,4262181.0,0.0499546527862548,-1928721.0,3642204.0,0.0,71833.4,133889.5922418916,525263.0,4.0
