time,target,master_offset,freq,path_delay
1736778688.155001965,0.10003662109375,-364081,-141944,823504
1736778689.155186943,0.10000061988830566,-500497,-387584,850636
1736778690.155281800,0.0999903678894043,78095,40859,545553
1736778691.155126863,0.09999799728393555,120429,106621,735511
1736778692.155051214,0.10002779960632324,-9225,13096,735511
1736778693.155419505,0.10002613067626953,-326794,-307241,982773
1736778694.155024201,0.09997177124023438,-173939,-252424,982773
1736778695.155629302,0.09998345375061035,476071,345405,628752
1736778696.155116094,0.09999489784240723,136591,148746,915705
1736778697.155880633,0.09999871253967285,-11742,41390,817117
1736778698.155651028,0.10006046295166016,-36429,13181,817117
1736778699.155714468,0.0999746322631836,-708033,-669352,1482049
1736778700.156162945,0.09996891021728516,539729,366000,618977
1736778701.155451487,0.09998250007629395,320283,308473,618977
1736778702.155866255,0.10003352165222168,80169,164444,770882
1736778703.156167264,0.10005402565002441,-497571,-389246,1378144
1736778704.155866308,0.09995889663696289,-511918,-552864,1563358
1736778705.155991588,0.0999605655670166,715662,521141,544775
1736778706.155838300,0.09997034072875977,363813,383990,889912
1736778707.155832894,0.09997129440307617,160520,289841,889912
1736778709.155913102,0.10001468658447266,-991209,-813732,1306046
1736778710.155850961,0.10000395774841309,48529,-71357,367567
1736778711.155926219,0.10002732276916504,73472,-31855,805836
1736778712.156081858,0.1000206470489502,-213044,-296329,1153637
1736778713.156063776,0.09995055198669434,-45106,-192305,1153637
1736778714.156242879,0.09994649887084961,732150,571420,613243
1736778715.155810635,0.10002541542053223,476911,535826,685808
1736778716.156081995,0.10003232955932617,-533599,-331611,1155837
1736778717.155980793,0.10000753402709961,-360368,-318460,1155837
1736778718.156574388,0.09995579719543457,22305,-43897,874865
1736778719.156458611,0.10001039505004883,557132,497621,605050
1736778720.155950588,0.10001015663146973,-268260,-160631,1157706
1736778721.156514826,0.09997820854187012,-118324,-91173,758473
1736778722.156629600,0.10002899169921875,265471,257125,498279
1736778723.156510954,0.10003280639648438,-417023,-345728,1136179
1736778724.156210804,0.09997153282165527,-270721,-324533,1136179
1736778725.156584412,0.10002660751342773,488798,353770,597981
1736778726.156213185,0.10001230239868164,-337129,-325518,1396242
1736778727.156813259,0.10001039505004883,-9307,-98834,1055949
1736778729.156573668,0.10003352165222168,781618,689298,547098
1736778730.156357340,0.09997916221618652,-577090,-434924,1650467
1736778731.156548072,0.09997773170471191,308223,277262,640513
1736778732.156661311,0.09996938705444336,159601,221107,640513
1736778733.156513927,0.09998869895935059,207541,316927,603746
1736778734.156893925,0.10000753402709961,-75630,96018,675484
1736778735.157502384,0.10004949569702148,-238996,-90037,659251
1736778736.156957921,0.10000300407409668,-611914,-534653,1036297
1736778737.157235934,0.0999760627746582,133427,27113,611211
1736778738.157064133,0.10001921653747559,330638,264352,670225
1736778739.157122538,0.09999537467956543,-268903,-235997,1053790
1736778740.156868011,0.10001659393310547,125140,77375,568958
1736778741.157221953,0.10001826286315918,-177008,-187231,1002684
1736778742.157312652,0.10001039505004883,-115391,-178716,1012150
1736778743.157695120,0.09998869895935059,6015,-91928,1147725
1736778744.157107457,0.09998464584350586,232959,136821,1062682
1736778745.157388734,0.09995460510253906,187706,161455,1062682
1736778746.157751427,0.09996485710144043,459202,489263,659313
1736778747.157136597,0.1000216007232666,173239,341061,659313
1736778748.157289467,0.10002732276916504,-488772,-268978,820112
1736778749.157417676,0.10005450248718262,-342048,-268886,820112
1736778750.157284951,0.09996843338012695,-538532,-567984,1146480
1736778751.157784374,0.0999760627746582,602567,411555,576102
1736778752.157186338,0.09997892379760742,237028,226786,576102
1736778753.157726039,0.10003209114074707,153400,214266,590440
1736778754.158121957,0.10003781318664551,-482886,-376000,1068660
1736778755.157682050,0.09997868537902832,-337834,-375813,1068660
1736778756.157787140,0.09997296333312988,417011,277681,575577
1736778757.157479808,0.10001015663146973,288606,274380,575577
1736778758.157537243,0.10001564025878906,-205700,-133344,1012525
1736778759.157553002,0.10012960433959961,-164174,-153528,1012525
1736778760.158267348,0.10011959075927734,-1373228,-1411835,2282146
1736778761.158387462,0.09984779357910156,-717865,-1168440,2282146
1736778762.157977482,0.09985852241516113,2460707,1794772,520859
1736778763.158024772,0.09999847412109375,1307351,1379629,1429059
1736778764.158019898,0.10002446174621582,-580134,-115651,1731308
1736778765.157791941,0.09998631477355957,-543793,-253350,1064638
1736778766.158127215,0.09999370574951172,53572,180877,596066
1736778767.157777648,0.10000157356262207,-86733,56643,723873
1736778768.158299242,0.09999322891235352,-136718,-19362,723873
1736778769.158053309,0.10031270980834961,2386,78727,548255
1736778770.158034194,0.09996724128723145,-3509082,-3432025,4035859
1736778771.158094379,0.09991765022277832,1670084,694416,479356
1736778772.158054515,0.09984421730041504,1314532,839889,479356
1736778773.158511697,0.0999150276184082,1712898,1632615,1108608
1736778774.158541348,0.10003089904785156,340558,774144,1249511
