Timestamp
2025-01-17 17-13-22.913
2025-01-17 17-13-23.892
2025-01-17 17-13-24.865
2025-01-17 17-13-25.833
2025-01-17 17-13-26.810
2025-01-17 17-13-27.910
2025-01-17 17-13-28.880
2025-01-17 17-13-29.842
2025-01-17 17-13-30.809
2025-01-17 17-13-31.923
2025-01-17 17-13-32.895
2025-01-17 17-13-33.869
2025-01-17 17-13-34.852
2025-01-17 17-13-35.827
2025-01-17 17-13-36.809
2025-01-17 17-13-37.921
2025-01-17 17-13-38.928
2025-01-17 17-13-39.912
2025-01-17 17-13-40.882
2025-01-17 17-13-41.843
2025-01-17 17-13-42.810
2025-01-17 17-13-43.917
2025-01-17 17-13-44.885
2025-01-17 17-13-45.866
2025-01-17 17-13-46.872
2025-01-17 17-13-47.839
2025-01-17 17-13-48.939
2025-01-17 17-13-49.919
2025-01-17 17-13-50.887
2025-01-17 17-13-51.846
2025-01-17 17-13-52.823
2025-01-17 17-13-53.804
2025-01-17 17-13-54.913
2025-01-17 17-13-55.877
2025-01-17 17-13-56.847
2025-01-17 17-13-57.819
2025-01-17 17-13-58.929
2025-01-17 17-13-59.897
2025-01-17 17-14-00.874
2025-01-17 17-14-01.850
2025-01-17 17-14-02.823
2025-01-17 17-14-03.941
2025-01-17 17-14-04.906
2025-01-17 17-14-05.872
2025-01-17 17-14-06.849
2025-01-17 17-14-07.812
2025-01-17 17-14-08.931
2025-01-17 17-14-09.911
2025-01-17 17-14-10.893
2025-01-17 17-14-11.863
2025-01-17 17-14-12.842
2025-01-17 17-14-13.808
2025-01-17 17-14-14.908
2025-01-17 17-14-15.882
2025-01-17 17-14-16.853
2025-01-17 17-14-17.821
2025-01-17 17-14-18.929
2025-01-17 17-14-19.889
2025-01-17 17-14-20.864
2025-01-17 17-14-21.831
2025-01-17 17-14-22.943
2025-01-17 17-14-23.928
2025-01-17 17-14-24.908
2025-01-17 17-14-25.876
2025-01-17 17-14-26.853
2025-01-17 17-14-27.827
2025-01-17 17-14-28.938
2025-01-17 17-14-29.919
2025-01-17 17-14-30.898
2025-01-17 17-14-31.867
2025-01-17 17-14-32.840
2025-01-17 17-14-33.816
2025-01-17 17-14-34.939
2025-01-17 17-14-35.899
2025-01-17 17-14-36.867
2025-01-17 17-14-37.831
2025-01-17 17-14-38.940
2025-01-17 17-14-39.899
2025-01-17 17-14-40.871
2025-01-17 17-14-41.836
2025-01-17 17-14-42.816
2025-01-17 17-14-43.923
2025-01-17 17-14-44.893
2025-01-17 17-14-45.870
2025-01-17 17-14-46.849
2025-01-17 17-14-47.814
2025-01-17 17-14-48.935
2025-01-17 17-14-49.901
2025-01-17 17-14-50.868
2025-01-17 17-14-51.839
2025-01-17 17-14-52.947
2025-01-17 17-14-53.929
2025-01-17 17-14-54.896
2025-01-17 17-14-55.868
2025-01-17 17-14-56.840
2025-01-17 17-14-57.814
2025-01-17 17-14-58.917
2025-01-17 17-14-59.882
2025-01-17 17-15-00.864
2025-01-17 17-15-01.835
2025-01-17 17-15-02.854
2025-01-17 17-15-03.823
2025-01-17 17-15-04.936
2025-01-17 17-15-05.906
2025-01-17 17-15-06.872
2025-01-17 17-15-07.845
2025-01-17 17-15-08.809
2025-01-17 17-15-09.919
2025-01-17 17-15-10.887
2025-01-17 17-15-11.857
2025-01-17 17-15-12.826
2025-01-17 17-15-13.941
2025-01-17 17-15-14.906
2025-01-17 17-15-15.884
2025-01-17 17-15-16.843
2025-01-17 17-15-17.822
2025-01-17 17-15-18.942
2025-01-17 17-15-19.911
2025-01-17 17-15-20.882
2025-01-17 17-15-21.848
2025-01-17 17-15-22.818
2025-01-17 17-15-23.925
2025-01-17 17-15-24.894
2025-01-17 17-15-25.873
2025-01-17 17-15-26.837
2025-01-17 17-15-27.808
2025-01-17 17-15-28.906
2025-01-17 17-15-29.873
2025-01-17 17-15-30.839
2025-01-17 17-15-31.940
2025-01-17 17-15-32.904
2025-01-17 17-15-33.880
2025-01-17 17-15-34.857
2025-01-17 17-15-35.834
2025-01-17 17-15-36.938
2025-01-17 17-15-37.910
2025-01-17 17-15-38.873
2025-01-17 17-15-39.837
2025-01-17 17-15-40.946
2025-01-17 17-15-41.919
2025-01-17 17-15-42.889
2025-01-17 17-15-43.857
2025-01-17 17-15-44.830
2025-01-17 17-15-45.809
2025-01-17 17-15-46.931
2025-01-17 17-15-47.904
2025-01-17 17-15-48.861
2025-01-17 17-15-49.842
2025-01-17 17-15-50.816
2025-01-17 17-15-51.931
2025-01-17 17-15-52.906
2025-01-17 17-15-53.883
2025-01-17 17-15-54.861
2025-01-17 17-15-55.832
2025-01-17 17-15-56.944
2025-01-17 17-15-57.917
2025-01-17 17-15-58.887
2025-01-17 17-15-59.867
2025-01-17 17-16-00.832
2025-01-17 17-16-01.805
2025-01-17 17-16-02.910
2025-01-17 17-16-03.875
2025-01-17 17-16-04.838
2025-01-17 17-16-05.813
2025-01-17 17-16-06.916
2025-01-17 17-16-07.886
2025-01-17 17-16-08.856
2025-01-17 17-16-09.823
2025-01-17 17-16-10.934
2025-01-17 17-16-11.910
2025-01-17 17-16-12.885
2025-01-17 17-16-13.858
2025-01-17 17-16-14.829
2025-01-17 17-16-15.806
2025-01-17 17-16-16.916
2025-01-17 17-16-17.887
2025-01-17 17-16-18.861
2025-01-17 17-16-19.844
2025-01-17 17-16-20.825
2025-01-17 17-16-21.941
2025-01-17 17-16-22.913
2025-01-17 17-16-23.891
2025-01-17 17-16-24.864
2025-01-17 17-16-25.831
2025-01-17 17-16-26.933
2025-01-17 17-16-27.900
2025-01-17 17-16-28.879
2025-01-17 17-16-29.856
2025-01-17 17-16-30.834
2025-01-17 17-16-31.813
2025-01-17 17-16-32.923
2025-01-17 17-16-33.899
2025-01-17 17-16-34.873
2025-01-17 17-16-35.837
2025-01-17 17-16-36.810
2025-01-17 17-16-37.920
2025-01-17 17-16-38.883
2025-01-17 17-16-39.861
2025-01-17 17-16-40.830
2025-01-17 17-16-41.936
2025-01-17 17-16-42.812
2025-01-17 17-16-43.939
