time,target,master_offset,freq,path_delay
1737105202.568403830,3764240.561,39324,118898,3132189
1737105203.567937794,3597347.629,286450,377822,3132189
1737105204.568002987,3325784.127,-55887,121420,3132189
1737105205.568475329,3400714.645,-596677,-436137,3187444
1737105206.568476187,3778665.675,-124511,-142974,3220601
1737105207.568481333,3914949.977,34130,-21686,3220601
1737105208.568529752,3926111.55,158061,112484,3187444
1737105209.568542122,3881944.216,-19083,-17242,3267960
1737105210.568078550,3809497.196,385012,381128,3267960
1737105211.568550798,3649017.735,-369720,-258100,3267960
1737105212.568010963,3797687.443,205204,205908,3361990
1737105213.568562723,3759631.696,-318861,-256596,3361990
1737105214.568634372,4000608.753,-72129,-105522,3412064
1737105215.568614488,4107510.579,43864,-11168,3412064
1737105216.568198768,3996263.387,538586,496713,3412064
1737105217.568662767,3780773.627,-464930,-345227,3471498
1737105218.568670889,4060528.82,-7659,-27435,3412064
1737105219.568591525,4115770.471,519,-21554,3420645
1737105220.568697568,4145021.615,73578,51660,3420645
1737105221.568590783,4151724.6,-44831,-44675,3503556
1737105222.568714517,4200532.094,53776,40482,3503556
1737105223.568716070,4170688.416,101011,103850,3452408
1737105224.568709759,4108635.297,29778,62920,3418195
1737105225.568238490,3967426.74,380812,422888,3418195
1737105226.568243376,3660246.396,-21128,135191,3418195
1737105227.568233770,3590392.22,-134048,15933,3418195
1737105228.568217427,3616353.938,-134889,-25122,3463894
1737105229.568763471,3787433.295,-483190,-413890,3463894
1737105230.568661459,4136496.625,-23164,-98821,3463894
1737105231.568650144,4220864.016,130897,48291,3411841
1737105232.568695455,4194043.058,118641,75304,3411841
1737105233.568822270,4147166.896,86815,79070,3411841
1737105234.568705538,4118405.578,-8580,9720,3440899
1737105235.568703650,4129844.751,22020,37746,3440899
1737105236.568912164,4119998.685,20971,43303,3440899
1737105237.568756375,4111849.714,-4029,24594,3440899
1737105238.568482273,3989832.475,420663,448077,3376598
1737105239.568772447,3785725.172,-421134,-267521,3424122
1737105240.568406306,3918408.924,252975,280248,3424122
1737105241.568947110,3838533.997,-393129,-289964,3433237
1737105242.568796769,4096207.265,-68971,-83744,3433237
1737105243.569118128,4215157.651,-67178,-102643,3593463
1737105244.568981121,4266263.495,223891,168273,3433237
1737105245.568830431,4166099.097,27920,39469,3433237
1737105246.568836185,4150283.982,39168,59093,3433237
1737105247.568552022,3960677.451,560599,592275,3191584
1737105248.568852629,3688671.589,-576893,-377038,3437212
1737105249.568575280,3898622.253,250883,277671,3437212
1737105250.568940129,3823159.455,-400124,-298072,3437212
1737105251.569034474,4096569.622,-99506,-117491,3437212
1737105252.569039412,4124259.325,328567,280730,3191584
1737105253.569076353,3739551.945,674513,725247,3514924
1737105254.569045072,3469923.627,-947073,-693986,3514924
1737105255.569008521,4053424.737,-197348,-228382,3491381
1737105256.569154770,4360148.627,-301382,-391621,3870404
1737105257.568679849,4486940.618,770495,589842,3526567
1737105258.569028373,4123333.086,-117393,-66898,3526567
1737105259.569171991,4096376.83,329317,344594,3128254
1737105260.569235004,3836753.148,45365,159437,3158520
1737105261.568731681,3640460.258,252287,379969,3158520
1737105262.569232990,3509481.799,-554059,-350691,3220099
1737105263.569264234,3844399.577,-237279,-200129,3273467
1737105264.568839765,3917002.518,356476,322442,3273467
1737105265.568812618,3848829.826,-498134,-425225,3859172
1737105266.569299666,4347153.56,-494795,-571326,3930545
1737105267.568838756,4675893.282,560464,335495,3859172
1737105268.569289834,4518189.101,-102786,-159616,3859172
1737105269.568484357,4603401.03,273976,186310,3657882
1737105270.569342333,4533354.453,-97812,-103285,3873833
1737105271.569175781,4573373.971,240993,206176,3657882
1737105272.568471562,4425190.558,73828,111309,3657882
1737105273.568917706,4164320.734,647403,707032,3356098
1737105274.569380950,3458014.118,547115,800965,3356098
1737105275.568587457,3157357.845,-1177112,-759127,3356098
1737105276.569396009,3808445.456,-367806,-302955,3328255
1737105277.568967056,3955499.828,358732,313241,3328255
1737105278.568636895,3831948.57,-280586,-218457,3328255
1737105279.568500013,3988517.391,106839,84792,3156189
1737105280.568634343,3942019.689,45623,55628,3156189
1737105281.568519993,3947382.895,-72536,-48844,3244987
1737105282.568662145,4008406.736,6762,8693,3244987
1737105283.568673133,3983224.268,157351,161311,3140909
1737105284.568667920,3885948.947,-4445,46720,3140909
1737105285.568693049,3868845.151,-3468,46363,3140909
1737105286.569106025,3699667.506,503137,551928,3089782
1737105287.568710773,3449791.209,-550863,-351131,3130462
1737105288.568739867,3762278.032,-159980,-125507,3130462
1737105289.568724992,3889006.576,-18214,-31735,3115637
1737105290.568745139,3932063.617,47558,28573,3115637
1737105291.568680736,3909706.39,110472,105754,3052979
1737105292.568761223,3834681.693,73269,101693,3018922
1737105293.568793638,3773152.943,15932,66337,3018922
1737105294.568804523,3756622.138,-56151,-967,3052979
1737105295.568803653,3771504.46,12334,50673,3017405
1737105296.568782909,3763002.916,-33315,8724,3017405
1737105297.568785291,3768198.469,28269,60314,2972054
1737105298.568807560,3735823.651,24928,65453,2957575
1737105299.568781844,3707445.645,-7644,40360,2957575
1737105300.568778232,3713009.492,-59717,-14006,2999447
1737105301.568751668,3753345.908,-31316,-3520,2999447
1737105302.568847739,3743084.705,121352,139753,2999447
1737105303.568862501,3684413.312,-85792,-30986,2940995
1737105304.568884400,3721662.626,16833,45902,2940995
1737105305.568814265,3731606.702,-75404,-41285,2968388
1737105306.568830830,3777775.172,28641,40138,2968388
1737105307.568830347,3792624.085,-64339,-44249,3002429
1737105308.568943991,3879119.913,-87268,-86480,3158474
1737105309.568932240,4042865.842,-219352,-244744,3392018
1737105310.568922129,4259837.317,36036,-55162,3392018
1737105311.568961335,4307644.574,147318,66931,3392018
1737105312.568714834,4257302.059,145801,109609,3385849
1737105313.568930888,4200975.217,23192,30741,3385849
1737105314.568966664,4238580.284,-112496,-97990,3508175
1737105315.568984145,4302733.001,130982,111739,3385849
1737105316.568946115,4215706.845,107429,127481,3338839
1737105317.568871109,4108733.017,104810,157091,3232167
1737105318.568718694,3978608.532,81582,165306,3139400
1737105319.568861888,3826905.478,109456,217654,3004460
1737105320.569052164,3655738.226,20244,161279,2894504
1737105321.569063900,3564675.126,-120476,26632,2894504
1737105322.568899610,3661758.23,-395554,-284589,3151348
1737105323.568903171,3998868.99,-353366,-361067,3436241
1737105324.569136417,4323325.343,-28867,-142578,3491819
1737105325.569111825,4447392.661,138702,16331,3491819
1737105326.569115663,4468163.369,71850,-8910,3573776
1737105327.568721221,4489653.261,106182,46977,3573776
1737105328.568771001,4466874.199,91768,64418,3573776
1737105329.568771358,4419961.825,103824,104004,3573776
1737105330.568765419,4329313.959,125905,157232,3420071
1737105331.568776813,4312242.452,-277710,-208611,3692530
1737105332.568802976,4421709.517,230772,216558,3420071
1737105333.568803708,4219292.926,212006,267023,3271924
1737105334.568808896,4038215.405,-38196,80423,3271924
1737105335.568827240,4004851.956,-84771,22389,3271924
1737105336.568830554,4005176.487,-37029,44700,3271924
1737105337.568858524,4139631.127,-520066,-449446,3674487
1737105338.568887880,4519880.773,-38368,-123768,3694008
1737105339.568883720,4637833.219,89797,-7113,3694008
1737105340.568896203,4646899.245,153888,83917,3694008
1737105341.568906707,4601182.838,78843,55039,3694008
1737105342.568928078,4571409.252,69129,68977,3694008
1737105343.568933821,4533387.014,43496,64083,3694008
1737105344.568952796,4509373.57,-4516,29120,3694008
1737105345.568923324,4502662.209,20206,52487,3660268
1737105346.568954631,4483935.613,8,38351,3660268
1737105347.568972068,4479473.386,-14545,23800,3660268
1737105348.568985381,4464480.11,58107,92089,3615838
1737105349.569000909,4428287.494,-46529,4885,3615838
1737105350.569015963,4451955.492,-29445,8010,3615838
1737105351.568997009,4407032.352,198605,227227,3408114
1737105352.569015912,4250325.286,3610,91813,3408114
1737105353.569032230,4201263.844,-41152,48134,3408114
1737105354.569067430,4184573.422,-35154,41787,3408114
1737105355.569039023,4169809.241,-16366,50028,3353843
1737105356.569060257,4155862.591,-33074,28411,3353843
1737105357.569454584,4161350.446,-37575,13987,3353843
1737105358.569483625,4153486.111,50912,91202,3282594
1737105359.569383136,4155100.962,-173120,-117556,3433514
1737105360.569295056,4227149.463,126264,129892,3255457
1737105361.569494332,4138569.902,49449,90956,3255457
1737105362.569506332,4023163.523,212531,268872,3064402
1737105363.569417074,3845607.674,-54978,65123,3097822
1737105364.569537938,3836195.373,-124753,-21146,3097822
1737105365.569509975,3892424.348,-105661,-39480,3097822
1737105366.569466650,3947470.908,-27973,6510,3097822
1737105368.228992737,3903588.673,78551,104642,3011052
1737105368.569572379,3903588.673,142945,192602,2952472
1737105369.569471153,3779603.261,-28736,63804,2952472
1737105370.570427019,3771347.826,-106033,-22114,2936538
1737105371.569492409,3818707.761,-60160,-8051,2995118
1737105372.569439138,3845371.507,-6225,27836,2995118
1737105373.569532619,3834323.307,37541,69735,2945629
1737105374.569440051,3822090.789,-65788,-22332,2995118
1737105375.570483557,3867305.689,-24145,-425,2970192
1737105376.569582637,3895904.092,-12485,3991,3016985
1737105377.570513215,3928590.478,-32370,-19639,3016985
1737105378.570505287,3951273.867,64727,67747,3016985
