master_offset,freq,path_delay,date,OT
-4445,46720,3140909,2025-01-17 09:14:44.568667904,3885948.947
-3468,46363,3140909,2025-01-17 09:14:45.568692992,3868845.151
503137,551928,3089782,2025-01-17 09:14:46.569106176,3699667.506
-550863,-351131,3130462,2025-01-17 09:14:47.568710912,3449791.209
-159980,-125507,3130462,2025-01-17 09:14:48.568739840,3762278.032
-18214,-31735,3115637,2025-01-17 09:14:49.568724992,3889006.576
47558,28573,3115637,2025-01-17 09:14:50.568745216,3932063.617
110472,105754,3052979,2025-01-17 09:14:51.568680704,3909706.39
73269,101693,3018922,2025-01-17 09:14:52.568761088,3834681.693
15932,66337,3018922,2025-01-17 09:14:53.568793600,3773152.943
-56151,-967,3052979,2025-01-17 09:14:54.568804608,3756622.138
12334,50673,3017405,2025-01-17 09:14:55.568803584,3771504.46
-33315,8724,3017405,2025-01-17 09:14:56.568782848,3763002.916
28269,60314,2972054,2025-01-17 09:14:57.568785152,3768198.469
24928,65453,2957575,2025-01-17 09:14:58.568807680,3735823.651
-7644,40360,2957575,2025-01-17 09:14:59.568781824,3707445.645
-59717,-14006,2999447,2025-01-17 09:15:00.568778240,3713009.492
-31316,-3520,2999447,2025-01-17 09:15:01.568751616,3753345.908
121352,139753,2999447,2025-01-17 09:15:02.568847616,3743084.705
-85792,-30986,2940995,2025-01-17 09:15:03.568862464,3684413.312
16833,45902,2940995,2025-01-17 09:15:04.568884480,3721662.626
-75404,-41285,2968388,2025-01-17 09:15:05.568814336,3731606.702
28641,40138,2968388,2025-01-17 09:15:06.568830720,3777775.172
-64339,-44249,3002429,2025-01-17 09:15:07.568830464,3792624.085
-87268,-86480,3158474,2025-01-17 09:15:08.568943872,3879119.913
-219352,-244744,3392018,2025-01-17 09:15:09.568932352,4042865.842
36036,-55162,3392018,2025-01-17 09:15:10.568922112,4259837.317
147318,66931,3392018,2025-01-17 09:15:11.568961024,4307644.574
145801,109609,3385849,2025-01-17 09:15:12.568714752,4257302.059
23192,30741,3385849,2025-01-17 09:15:13.568930816,4200975.217
-112496,-97990,3508175,2025-01-17 09:15:14.568966656,4238580.284
130982,111739,3385849,2025-01-17 09:15:15.568984064,4302733.001
107429,127481,3338839,2025-01-17 09:15:16.568945920,4215706.845
104810,157091,3232167,2025-01-17 09:15:17.568871168,4108733.017
81582,165306,3139400,2025-01-17 09:15:18.568718592,3978608.532
109456,217654,3004460,2025-01-17 09:15:19.568861696,3826905.478
20244,161279,2894504,2025-01-17 09:15:20.569051904,3655738.226
-120476,26632,2894504,2025-01-17 09:15:21.569063936,3564675.126
-395554,-284589,3151348,2025-01-17 09:15:22.568899584,3661758.23
-353366,-361067,3436241,2025-01-17 09:15:23.568903168,3998868.99
-28867,-142578,3491819,2025-01-17 09:15:24.569136384,4323325.343
138702,16331,3491819,2025-01-17 09:15:25.569111808,4447392.661
71850,-8910,3573776,2025-01-17 09:15:26.569115648,4468163.369
106182,46977,3573776,2025-01-17 09:15:27.568721408,4489653.261
91768,64418,3573776,2025-01-17 09:15:28.568770816,4466874.199
103824,104004,3573776,2025-01-17 09:15:29.568771072,4419961.825
125905,157232,3420071,2025-01-17 09:15:30.568765440,4329313.959
-277710,-208611,3692530,2025-01-17 09:15:31.568776960,4312242.452
230772,216558,3420071,2025-01-17 09:15:32.568802816,4421709.517
212006,267023,3271924,2025-01-17 09:15:33.568803584,4219292.926
-38196,80423,3271924,2025-01-17 09:15:34.568808704,4038215.405
-84771,22389,3271924,2025-01-17 09:15:35.568827136,4004851.956
-37029,44700,3271924,2025-01-17 09:15:36.568830464,4005176.487
-520066,-449446,3674487,2025-01-17 09:15:37.568858368,4139631.127
-38368,-123768,3694008,2025-01-17 09:15:38.568887808,4519880.773
89797,-7113,3694008,2025-01-17 09:15:39.568883712,4637833.219
153888,83917,3694008,2025-01-17 09:15:40.568896256,4646899.245
78843,55039,3694008,2025-01-17 09:15:41.568906752,4601182.838
69129,68977,3694008,2025-01-17 09:15:42.568928000,4571409.252
43496,64083,3694008,2025-01-17 09:15:43.568933632,4533387.014
-4516,29120,3694008,2025-01-17 09:15:44.568952832,4509373.57
20206,52487,3660268,2025-01-17 09:15:45.568923136,4502662.209
8,38351,3660268,2025-01-17 09:15:46.568954624,4483935.613
-14545,23800,3660268,2025-01-17 09:15:47.568972032,4479473.386
58107,92089,3615838,2025-01-17 09:15:48.568985344,4464480.11
-46529,4885,3615838,2025-01-17 09:15:49.569000704,4428287.494
-29445,8010,3615838,2025-01-17 09:15:50.569016064,4451955.492
198605,227227,3408114,2025-01-17 09:15:51.568996864,4407032.352
3610,91813,3408114,2025-01-17 09:15:52.569016064,4250325.286
-41152,48134,3408114,2025-01-17 09:15:53.569032192,4201263.844
-35154,41787,3408114,2025-01-17 09:15:54.569067520,4184573.422
-16366,50028,3353843,2025-01-17 09:15:55.569039104,4169809.241
-33074,28411,3353843,2025-01-17 09:15:56.569060096,4155862.591
-37575,13987,3353843,2025-01-17 09:15:57.569454336,4161350.446
50912,91202,3282594,2025-01-17 09:15:58.569483520,4153486.111
-173120,-117556,3433514,2025-01-17 09:15:59.569383168,4155100.962
126264,129892,3255457,2025-01-17 09:16:00.569294848,4227149.463
49449,90956,3255457,2025-01-17 09:16:01.569494528,4138569.902
212531,268872,3064402,2025-01-17 09:16:02.569506304,4023163.523
-54978,65123,3097822,2025-01-17 09:16:03.569416960,3845607.674
-124753,-21146,3097822,2025-01-17 09:16:04.569538048,3836195.373
-105661,-39480,3097822,2025-01-17 09:16:05.569509888,3892424.348
-27973,6510,3097822,2025-01-17 09:16:06.569466624,3947470.908
78551,104642,3011052,2025-01-17 09:16:08.228992768,3903588.673
142945,192602,2952472,2025-01-17 09:16:08.569572352,3903588.673
-28736,63804,2952472,2025-01-17 09:16:09.569471232,3779603.261
-106033,-22114,2936538,2025-01-17 09:16:10.570426880,3771347.826
-60160,-8051,2995118,2025-01-17 09:16:11.569492224,3818707.761
-6225,27836,2995118,2025-01-17 09:16:12.569439232,3845371.507
37541,69735,2945629,2025-01-17 09:16:13.569532672,3834323.307
-65788,-22332,2995118,2025-01-17 09:16:14.569440000,3822090.789
-24145,-425,2970192,2025-01-17 09:16:15.570483712,3867305.689
-12485,3991,3016985,2025-01-17 09:16:16.569582592,3895904.092
-32370,-19639,3016985,2025-01-17 09:16:17.570513152,3928590.478
64727,67747,3016985,2025-01-17 09:16:18.570505216,3951273.867
48138,70576,3016985,2025-01-17 09:16:19.570453760,3912193.624
-105614,-68735,3089630,2025-01-17 09:16:21.074140160,3917798.213
4153,9348,3033782,2025-01-17 09:16:21.570537472,3917798.213
-2552,3889,3033782,2025-01-17 09:16:22.570568192,3939625.057
38712,44387,3033782,2025-01-17 09:16:23.569642752,3952951.522
-124004,-106715,3182660,2025-01-17 09:16:24.570593024,3983875.915
-210806,-230718,3386302,2025-01-17 09:16:25.570595072,4157661.384
49868,-33286,3402483,2025-01-17 09:16:26.570590720,4358110.183
98384,30190,3402483,2025-01-17 09:16:27.570614016,4401713.043
128147,89469,3402483,2025-01-17 09:16:28.570620416,4383105.787
86964,86730,3339626,2025-01-17 09:16:29.570614016,4323985.704
40550,66405,3339626,2025-01-17 09:16:30.570650624,4272928.751
140815,178835,3209754,2025-01-17 09:16:31.570639616,4201985.297
-34566,45698,3209754,2025-01-17 09:16:32.570644736,4093009.382
10932,80827,3167020,2025-01-17 09:16:33.570679552,4066185.641
-28121,45053,3167020,2025-01-17 09:16:34.570674944,4025727.059
-61101,3637,3167020,2025-01-17 09:16:35.570710784,4022757.555
32754,79162,3095051,2025-01-17 09:16:36.570694400,4025741.941
-27751,28483,3095051,2025-01-17 09:16:37.570706944,3991475.675
133580,181488,2960140,2025-01-17 09:16:38.570725120,3946100.092
-147327,-59345,3095051,2025-01-17 09:16:39.570636544,3867222.565
-152937,-109153,3167020,2025-01-17 09:16:40.570721024,3971213.444
-14020,-16117,3166009,2025-01-17 09:16:41.570669824,4081661.327
25470,19167,3166009,2025-01-17 09:16:42.570760704,4116611.957
-40918,-39580,3265140,2025-01-17 09:16:43.570798848,4144786.745
-65237,-76174,3349658,2025-01-17 09:16:44.570812160,4224999.371
223580,193072,3156846,2025-01-17 09:16:45.570808320,4249055.581
45638,82204,3156846,2025-01-17 09:16:46.570857472,4119100.858
6755,57012,3156846,2025-01-17 09:16:47.570833152,4074057.551
193396,245680,2950799,2025-01-17 09:16:48.570826240,3989293.401
