real,forecast
2.4961496,2.404031
2.5678127,2.5478175
2.583939675,2.6130931
2.565719694,2.5691347
2.5397502289999996,2.4899855
2.516839915,2.4356482
2.544411311,2.4408667
2.585085773,2.4678874
2.7943877629999996,2.6990812
2.704836934,2.7065206
2.4731896449999997,2.712665
2.384595995,2.473037
2.386611156,2.463557
2.477620707,2.5071752
2.4182270129999996,2.702342
2.379208657,2.7660062
2.476428571,2.7080107
2.564638685,2.574145
2.723402759,2.7747703
2.87352823,2.831203
2.940392906,2.8610032
2.980214318,2.8542755
3.0149527239999996,2.7151804
3.079934153,2.6765444
3.0777043629999996,2.8084118
3.091138609,2.535243
3.06044508,2.6267443
3.014208486,2.4857
2.992361899,2.3661845
2.946618078,2.4168398
2.925880721,2.3330996
2.735908654,2.3747954
2.637897847,2.301923
2.566587511,2.2937937
2.531719494,2.2836359
2.6794121619999998,2.3281953
2.63701408,2.4570346
2.657155048,2.4078941
2.659773123,2.4646099
2.634598112,2.4403841
2.6453446219999996,2.428146
2.785070023,2.568059
2.8985794049999996,2.6703806
2.950048548,2.6970572
2.792731236,2.5574725
2.677465046,2.3805351
2.6448100109999997,2.3630788
2.48722971,2.397562
2.482184352,2.3229911
2.493204597,2.3761716
2.480772998,2.471155
2.551908394,2.4870257
2.591669222,2.4733007
2.700809096,2.6350143
2.7677330739999997,2.6734018
2.907561041,2.7556858
3.0948459249999996,2.782754
3.17574777,3.024073
3.157800103,3.0064065
3.1486249429999997,2.7184384
3.1299199659999997,2.5962434
3.185079441,2.335855
3.215222565,2.4967968
3.2975733409999997,2.5054455
3.24467889,2.5843174
3.322668899,2.4934475
3.397728432,2.668404
3.338457857,2.5625381
3.227460011,2.4233665
3.056842406,2.3537982
3.023551373,1.948687
3.0353319789999995,2.0707335
3.087101223,2.0794768
3.0234919259999997,2.488616
2.844814703,2.407314
2.688870652,2.3053265
2.607952174,2.2630193
2.6378297689999997,2.261818
2.493575915,2.4638884
2.398868135,2.4275446
2.3996414759999998,2.399514
2.547721039,2.5466416
2.644679266,2.5228662
2.6834364139999995,2.562299
2.775764931,2.752767
2.937997884,2.69455
3.042292086,2.7870317
3.17246606,2.8684416
3.221814931,3.0111642
3.0915360819999997,2.7559068
2.905926373,2.4888363
2.785315907,2.3821404
2.6295335809999996,2.3218172
2.480045767,2.344107
2.4413360980000003,2.2595513
2.4733900959999997,2.2803564
2.5056430780000003,2.3535867
2.5365538080000003,2.4260192
2.556248054,2.5072658
2.5536065869999995,2.5563128
2.561350733,2.5295827
2.652421832,2.6087527
2.673461041,2.5883725
2.7312242799999997,2.576723
2.74477959,2.6058393
2.796701075,2.6169012
2.8730228939999995,2.6951284
2.91768587,2.6839416
2.9261348399999996,2.682261
2.901168287,2.6421344
2.879008806,2.5243552
2.850842262,2.487719
2.846233124,2.429583
2.892899016,2.4112995
2.9022528029999997,2.4826105
2.942549828,2.4099617
2.9515178489999996,2.5043814
2.8666220809999996,2.5250826
2.780710794,2.4386468
2.670524531,2.3617
2.430423112,2.458216
2.2934009389999996,2.421099
2.3650235019999997,2.2526302
2.51150532,2.403353
2.586935755,2.5085187
2.590353126,2.5386703
2.5351848969999997,2.4659536
2.3954069369999997,2.7336175
2.321072736,2.6182513
2.3410747030000003,2.5283256
2.386621453,2.477255
2.378102153,2.6898851
2.373983917,2.6311293
2.360661,2.666854
2.3674003999999997,2.613166
2.393883916,2.54107
2.408605901,2.6027524
2.38740349,2.6318233
2.451060098,2.5805287
2.671374313,2.728838
2.823485291,2.8013268
2.821187643,2.8980508
2.8364962259999995,2.691035
2.6848052059999996,2.6492386
2.5896403390000002,2.4304316
2.562754922,2.385254
2.558086098,2.3900535
2.5781461,2.398169
2.5480831809999995,2.4816105
2.523954233,2.4215822
2.58143587,2.393137
2.570434039,2.5674586
2.442729005,2.4165695
2.3651068239999997,2.3124702
2.226443275,2.4063182
2.177083448,2.300059
2.2779509279999997,2.350684
2.3463545189999997,2.4470482
2.429711173,2.5576415
2.494969494,2.6607907
2.539362357,2.673531
2.6138973009999997,2.6813195
2.607163307,2.7153761
2.603425858,2.558245
2.588283139,2.548448
2.8160200890000002,2.496053
2.9623890159999995,2.8878334
2.978008585,2.8660884
2.8409673909999995,2.7403362
2.71305443,2.4046156
2.725055409,2.0399153
2.755549222,2.1926944
2.625030492,2.477586
2.449545824,2.3531675
2.356168078,2.236614
2.3745381009999997,2.192883
2.429073924,2.2810824
2.4662834670000002,2.3677394
2.459848582,2.446358
2.356768135,2.4369347
2.310570334,2.3588176
2.266976659,2.3648086
2.3277584589999996,2.3692582
2.389537014,2.4358995
2.433834478,2.5029204
2.269061184,2.4368744
2.15369929,2.2903278
2.226481178,2.3224032
2.264440473,2.446979
2.255589719,2.4747689
2.2596131579999996,2.449186
2.233259554,2.4866765
2.407988548,2.5050907
2.5210965809999997,2.647227
2.648018847,2.7722743
2.6967087910000003,2.9122462
2.541858696,2.696532
2.374672676,2.4526782
2.386282666,2.1445124
2.424165789,2.2502763
2.285276659,2.4169865
2.1818153339999995,2.343681
2.2383265,2.2652276
2.289476487,2.3550735
2.366768258,2.3853498
