攻击结束,时间戳：1739904198771 ms

攻击开始,时间戳：1739904621083 ms,模式：3,目标值：2000869,持续时间：37秒
攻击结束,时间戳：1739904658095 ms

攻击开始,时间戳：1739905014266 ms,模式：2,目标值：4516878,持续时间：23秒
攻击结束,时间戳：1739905037276 ms

攻击开始,时间戳：1739905497610 ms,模式：2,目标值：4359924,持续时间：27秒
攻击结束,时间戳：1739905524619 ms

攻击开始,时间戳：1739905835770 ms,模式：2,目标值：5548584,持续时间：32秒
攻击结束,时间戳：1739905867789 ms

攻击开始,时间戳：1739906280963 ms,模式：3,目标值：3456714,持续时间：33秒
攻击结束,时间戳：1739906313973 ms

攻击开始,时间戳：1739906724213 ms,模式：1,目标值：2421966,持续时间：41秒
攻击结束,时间戳：1739906765225 ms

攻击开始,时间戳：1739907292496 ms,模式：3,目标值：2950072,持续时间：59秒
攻击结束,时间戳：1739907351537 ms

攻击开始,时间戳：1739907641674 ms,模式：3,目标值：5786580,持续时间：53秒
攻击结束,时间戳：1739907694692 ms

攻击开始,时间戳：1739908196938 ms,模式：1,目标值：3418823,持续时间：33秒
攻击结束,时间戳：1739908229960 ms

攻击开始,时间戳：1739908680189 ms,模式：3,目标值：2433779,持续时间：27秒
攻击结束,时间戳：1739908707198 ms

攻击开始,时间戳：1739909206504 ms,模式：1,目标值：4722500,持续时间：55秒
攻击结束,时间戳：1739909261524 ms

攻击开始,时间戳：1739909689756 ms,模式：2,目标值：5655728,持续时间：42秒
攻击结束,时间戳：1739909731765 ms

攻击开始,时间戳：1739910078003 ms,模式：1,目标值：2726739,持续时间：23秒
攻击结束,时间戳：1739910100012 ms

攻击开始,时间戳：1739910659340 ms,模式：2,目标值：4962424,持续时间：25秒
攻击结束,时间戳：1739910684356 ms

攻击开始,时间戳：1739911237622 ms,模式：2,目标值：5142953,持续时间：52秒
攻击结束,时间戳：1739911289639 ms

攻击开始,时间戳：1739911669831 ms,模式：3,目标值：2587235,持续时间：57秒
攻击结束,时间戳：1739911726855 ms

攻击开始,时间戳：1739912025973 ms,模式：1,目标值：5099387,持续时间：23秒
攻击结束,时间戳：1739912049003 ms

攻击开始,时间戳：1739912517224 ms,模式：2,目标值：2971099,持续时间：22秒
攻击结束,时间戳：1739912539232 ms

攻击开始,时间戳：1739913087476 ms,模式：3,目标值：5453546,持续时间：54秒
攻击结束,时间戳：1739913141494 ms

攻击开始,时间戳：1739913441606 ms,模式：1,目标值：2337085,持续时间：24秒
攻击结束,时间戳：1739913465616 ms

攻击开始,时间戳：1739913760775 ms,模式：3,目标值：3801734,持续时间：20秒
攻击结束,时间戳：1739913780783 ms

攻击开始,时间戳：1739914096890 ms,模式：3,目标值：2488095,持续时间：45秒
攻击结束,时间戳：1739914141902 ms

攻击开始,时间戳：1739914614183 ms,模式：3,目标值：5501304,持续时间：49秒
攻击结束,时间戳：1739914663201 ms

攻击开始,时间戳：1739914973336 ms,模式：1,目标值：5004935,持续时间：57秒
攻击结束,时间戳：1739915030350 ms

攻击开始,时间戳：1739915385471 ms,模式：2,目标值：3715894,持续时间：27秒
攻击结束,时间戳：1739915412484 ms

攻击开始,时间戳：1739915686633 ms,模式：3,目标值：3359717,持续时间：60秒
攻击结束,时间戳：1739915746654 ms

攻击开始,时间戳：1739916071807 ms,模式：3,目标值：4620121,持续时间：57秒
攻击结束,时间戳：1739916128833 ms

攻击开始,时间戳：1739916488200 ms,模式：3,目标值：3212978,持续时间：56秒
攻击结束,时间戳：1739916544222 ms

攻击开始,时间戳：1739916823327 ms,模式：3,目标值：4324091,持续时间：53秒
攻击结束,时间戳：1739916876346 ms

攻击开始,时间戳：1739917412663 ms,模式：1,目标值：5389023,持续时间：35秒
攻击结束,时间戳：1739917447680 ms

