Seconds_sin,Seconds_cos,path_delay
-0.7449209630493263,-0.667152725250871,3259391
-0.7449694588057506,-0.6670985725113396,3104725
-0.7450179945116296,-0.6670443672304485,3104725
-0.7450665025937363,-0.6669901848698659,3270911
-0.745114972739685,-0.6669360369624201,3270911
-0.7451634663632628,-0.6668818549019658,3270911
-0.745211975090342,-0.6668276480335465,3384332
-0.7452604677340191,-0.6667734512057832,3454595
-0.7453089528490099,-0.6667192548615289,3454595
-0.7453574587210576,-0.666665027377983,3569506
-0.7454059294980228,-0.6666108311970251,3689060
-0.7454544133224621,-0.6665566124929403,3689060
-0.7455028838350181,-0.6665024007411162,3569506
-0.7455513251441441,-0.6664482137239253,3397283
-0.7455997931206584,-0.6663939889423008,3397283
-0.7456482652539032,-0.6663397515711073,3199343
-0.7456967044780892,-0.6662855430898357,3188935
-0.7457451820435833,-0.6662312837587131,3188935
-0.7457936288104124,-0.6661770509600258,3135208
-0.7458420731214047,-0.6661228129721765,3069511
-0.7458905035058514,-0.6660685826397965,3069511
-0.7459389467479608,-0.6660143299693655,3252917
-0.7459873756791872,-0.6659600853859631,3252917
-0.7460358065915522,-0.6659058306422103,3252917
-0.7460842295789026,-0.6658515768349995,3135208
-0.7461326425719823,-0.6657973262852221,3174218
-0.746181018528227,-0.6657431093058176,3029337
-0.7462294329909656,-0.6656888412298813,3029337
-0.746277845291358,-0.665634567632487,3029337
-0.74632624528048,-0.6655802998929137,3029337
-0.7463746386347379,-0.6655260316492996,3230274
-0.7464230451025748,-0.6654717407522271,3081990
-0.7464714383303411,-0.6654174567570583,3081990
-0.7465198214663425,-0.6653631761360559,3153633
-0.7465682108984422,-0.6653088805028076,3153633
-0.7466165799590967,-0.6652545997813031,3255838
-0.7466649655809539,-0.6652002925239834,3255838
-0.7467133384112155,-0.6651459916730894,3255838
-0.7467617054228052,-0.665091689403817,3255838
-0.7468100694263895,-0.6650373825608237,3255838
-0.746858421953639,-0.6649830806546284,3175339
-0.7469067852138458,-0.6649287587415046,3175339
-0.7469551411562307,-0.6648744370934074,3175339
-0.7470034920215719,-0.6648201131942214,3163730
-0.7470518314363321,-0.6647657942069688,3199454
-0.7471001664433728,-0.6647114722195522,3199454
-0.7471485129305345,-0.664657129372499,3163730
-0.7471968464574824,-0.6646027931358651,3163730
-0.7472451751173247,-0.6645484544138814,3187618
-0.7472935031903217,-0.6644941083933977,3158689
-0.7473418173407779,-0.6644397700723396,3158689
-0.747390140848891,-0.6643854132669341,3159644
-0.7474384683930081,-0.6643310439579911,3091550
-0.7474867777973526,-0.6642766870951675,3091550
-0.7475351092166587,-0.6642222974941734,3091676
-0.7475834029227357,-0.6641679423718541,3085341
-0.7476317073645932,-0.6641135672030074,3085341
-0.74768000042152,-0.6640591968865998,3051977
-0.7477282554309516,-0.6640048614507168,3019600
-0.7477765761316948,-0.6639504440760317,3019600
-0.747824824733355,-0.6638960999377289,3019600
-0.7478731369997048,-0.6638416761203088,3019600
-0.7479215825490602,-0.6637870941478972,3023277
-0.7479696777096845,-0.6637328990089845,3023277
-0.7480179449364683,-0.6636785020271657,3023277
-0.7480661986323617,-0.6636241123284536,3047313
-0.7481144649025676,-0.6635697004863504,3047313
-0.7481626945425115,-0.663515321974473,3166891
-0.7482109677956373,-0.6634608863153243,3396675
-0.748259192243278,-0.6634064977247639,3552978
-0.7483074229380359,-0.6633520941218438,3463389
-0.7483556959471427,-0.6632976348091917,3463389
-0.7484039298395627,-0.6632432116506726,3463389
-0.7484521367355936,-0.6631888109851706,3595605
-0.7485003868987236,-0.663134353515531,3463389
-0.7485485977203092,-0.6630799324749307,3463389
-0.748596824853051,-0.6630254850455829,3343684
-0.7486450149970905,-0.6629710714050848,3437442
-0.7486932280408607,-0.6629166239322678,3564894
-0.7487414568323957,-0.6628621506923607,3308804
-0.7487896250721446,-0.6628077378729952,3143482
-0.748837826162959,-0.6627532799673902,3139086
-0.7488860241567786,-0.6626988175805453,3139086
-0.7489342437258312,-0.6626443228269727,3139086
-0.7489824293422291,-0.6625898584619393,3243902
-0.7490306035849166,-0.6625353989736816,3057800
-0.7490787891857489,-0.6624809186625773,3057800
-0.7491269633382867,-0.662426443312431,3014820
-0.7491751348856466,-0.6623719629249666,3014820
-0.7492233038272407,-0.6623174775001746,3204882
-0.7492714571797803,-0.6622630017264204,3204882
-0.7493195788575343,-0.6622085538112351,3204882
-0.7493677401307468,-0.6621540531110095,3474283
-0.7494158900072259,-0.6620995573210101,3204882
-0.7494640370668854,-0.6620450567320977,3339160
-0.7495121629708137,-0.6619905721071958,2957262
-0.7495603093013494,-0.6619360563680342,3091540
-0.749608443497101,-0.6618815463796022,2887753
-0.7496565788543351,-0.6618270270851848,3091540
-0.7497047125625421,-0.6617725016661814,2989957
-0.7497528219167926,-0.6617179958470272,2989957
-0.7498009458593422,-0.6616634655082868,3167814
-0.7498490700113276,-0.6616089269373163,3167814
-0.7498971805651641,-0.6615543957834592,3509959
-0.7499452883355839,-0.6614998597908074,3509959
-0.7499933927186531,-0.6614453196435548,3509959
-0.75004149210097,-0.6613907771710689,3312412
-0.7500895879845991,-0.66133623067022,3594530
-0.7501376793104265,-0.6612816813422006,3594530
-0.7501857589878054,-0.6612271372318973,3594530
-0.750233849876098,-0.6611725724045792,3311407
-0.7502819211153078,-0.661118021874705,3311407
-0.7503299966337083,-0.6610634584906803,3255281
-0.7503780669780712,-0.6610088929797037,3194267
-0.7504261432966669,-0.6609543126849922,3123280
-0.7504742065403895,-0.6608997392324897,3065647
-0.7505222587166064,-0.6608451703469758,3065647
-0.7505703223637851,-0.6607905804312919,3122178
-0.7506183755085817,-0.6607359944401833,3122178
-0.7506664241669644,-0.660681405541569,3115184
-0.7507144854956164,-0.6606267942394193,3055086
-0.7507625488771794,-0.660572172592398,3055086
-0.750810584023002,-0.6605175750266139,3055086
-0.7508586164279095,-0.6604629725699734,3105725
-0.7509066422185067,-0.6604083696260425,3105725
-0.7509546659930393,-0.6603537609670158,3195490
-0.7510026870869644,-0.660299147347745,3535988
-0.7510507023899146,-0.6602445323057329,3535988
-0.7510987140160802,-0.6601899134365736,3849148
-0.7511467256766032,-0.6601352865173302,3612322
-0.7511947292843253,-0.6600806607494643,3612322
-0.7512427285508608,-0.6600260319104525,3612322
-0.7512907263879675,-0.6599713966858263,3612322
-0.7513387173153965,-0.6599167613137696,3355414
-0.7513867066651198,-0.6598621197242234,3355414
-0.7514346902230344,-0.6598074767153008,3355414
-0.7514826231950007,-0.6597528833100773,3154958
-0.7515306471857551,-0.6596981782152805,3154958
-0.7515786191406634,-0.6596435243755628,2919211
-0.7516265884839807,-0.6595888654942053,2919211
-0.7516745532260066,-0.6595342038381962,3009799
-0.7517225073875349,-0.6594795462233818,3132393
-0.7517704448931315,-0.65942489957931,3132393
-0.7518183969742971,-0.6593702283019747,3132393
-0.7518663697019805,-0.6593155254589146,3132393
-0.7519142905588063,-0.6592608737468401,3194004
-0.7519622310428146,-0.6592061916313535,3171679
-0.7520101681882368,-0.659151505301702,3171679
-0.7520581006940078,-0.6590968162421372,3171679
-0.7521060296888146,-0.6590421231649218,3171679
-0.7521539536755573,-0.6589874277785788,3171679
-0.7522018666678238,-0.6589327369173893,3171679
-0.7522498150089237,-0.6588779976741067,3171679
-0.7522977271335647,-0.6588232917480018,3171679
-0.752345637021337,-0.6587685803489406,3171679
-0.7523935418632876,-0.6587138666844788,3171679
-0.7524414356754962,-0.6586591575910853,3193301
-0.7524893386045147,-0.6586044300538374,3222980
-0.7525371908419688,-0.6585497524103082,3222980
-0.7525850814125719,-0.658495022938847,3222980
-0.7526329640803009,-0.658440294468451,3222980
-0.7526808328276631,-0.6583855738804242,3166051
-0.7527287242656856,-0.658330819319097,3166051
-0.7527765959360591,-0.6582760793245638,3161786
-0.7528244680125601,-0.6582213308315114,3218715
-0.7528723293558773,-0.6581665865799139,3218715
-0.7529201783501829,-0.6581118484217777,3161786
-0.7529680483443899,-0.6580570782025222,3123346
-0.7530159017737317,-0.6580023188985687,3124438
-0.7530637521026461,-0.6579475551053323,3124438
-0.7531115941620511,-0.6578927927395877,3178884
-0.7531594270464955,-0.6578380328401472,3231983
-0.7532072730199778,-0.6577832499158128,3231983
-0.7532550994822441,-0.6577284812929987,3401117
-0.7533029438417589,-0.6576736841316824,3546123
-0.7533507477559095,-0.6576189252565744,3778033
-0.753398567631388,-0.6575641400585748,3778033
-0.7534463993255829,-0.6575093332746801,3960857
-0.7534942112680288,-0.6574545410791314,3960857
-0.7535420231300197,-0.6573997409317385,3960857
-0.7535898259401008,-0.6573449431155369,3779654
-0.7536376173620827,-0.6572901503117198,3779654
-0.753685426041218,-0.6572353296750469,3248929
-0.7537332179352034,-0.6571805202385743,3248929
-0.7537810077517855,-0.6571257051376872,3227029
-0.7538287919550165,-0.6570708884280603,3227029
-0.7538765604050811,-0.6570160817451914,3248929
-0.7539243922240726,-0.656961194295038,3296289
-0.7539721659679236,-0.6569063654324243,3296289
-0.7540199351985403,-0.6568515336993506,3296289
-0.7540677001848076,-0.6567966987873759,3358021
